pref_name,first_approval,dosed_ingredient,oral,parenteral,topical,first_in_class,smiles
COLCHICINE,1961,1,1,0,0,0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
TRANYLCYPROMINE SULFATE,1961,1,1,0,0,0,N[C@@H]1C[C@H]1c1ccccc1
TOLBUTAMIDE,1961,1,1,1,0,0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
ACETOPHENAZINE,1961,0,1,0,0,0,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
BETAMETHASONE,1961,1,1,0,1,0,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CLOBUTINOL,1961,1,0,0,0,0,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1
CYPROHEPTADINE,1961,0,1,0,0,0,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
MESTRANOL,1961,1,1,0,0,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
THIETHYLPERAZINE MALATE,1961,1,0,1,0,0,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
NORETHYNODREL,1961,1,1,0,0,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C
GLYCOPYRROLATE,1961,1,1,1,1,0,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
POLYTHIAZIDE,1961,1,1,0,0,0,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
AMITRIPTYLINE,1961,0,1,1,0,0,CN(C)CCC=C1c2ccccc2CCc2ccccc21
DIPYRIDAMOLE,1961,1,1,1,0,0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
IOTHALAMIC ACID,1962,0,0,1,0,0,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
THIORIDAZINE HYDROCHLORIDE,1962,1,1,0,0,0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
ANISOTROPINE,1962,0,1,0,0,0,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C
METAXALONE,1962,1,1,0,0,0,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
IPODATE SODIUM,1962,1,1,0,0,0,CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I
STANOZOLOL,1962,1,1,0,0,0,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
FLUOROURACIL,1962,1,0,1,1,0,O=c1[nH]cc(F)c(=O)[nH]1
URACIL MUSTARD,1962,1,1,0,0,0,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
METHYLDOPA,1962,1,1,0,0,0,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
METHYLDOPATE HYDROCHLORIDE,1962,1,0,1,0,0,CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1
METHYSERGIDE MALEATE,1962,1,1,0,0,0,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
LEVOPROPOXYPHENE NAPSYLATE,1962,1,1,0,0,0,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C
GRISEOFULVIN,1962,1,1,0,0,0,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
QUINETHAZONE,1963,1,1,0,0,0,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
FLUOCINOLONE ACETONIDE,1963,1,0,1,1,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
METRONIDAZOLE,1963,1,1,1,1,0,Cc1ncc([N+](=O)[O-])n1CCO
FENFLURAMINE HYDROCHLORIDE,1963,1,1,0,0,0,CCNC(C)Cc1cccc(C(F)(F)F)c1
VINCRISTINE,1963,0,0,1,0,0,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
DIAZEPAM,1963,1,1,1,1,0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
PSEUDOEPHEDRINE,1963,0,1,0,0,0,CN[C@@H](C)[C@@H](O)c1ccccc1
IDOXURIDINE,1963,1,0,0,1,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
NALIDIXIC ACID,1964,1,1,0,0,0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
NORTRIPTYLINE,1964,1,1,0,0,0,CNCCC=C1c2ccccc2CCc2ccccc21
LINCOMYCIN,1964,1,1,1,0,0,CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1
ETHYLESTRENOL,1964,1,1,0,0,0,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
ERYTHROMYCIN,1964,1,1,0,1,0,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O
ACETOHEXAMIDE,1964,1,1,0,0,0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
MELPHALAN,1964,1,1,0,0,0,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
TRIAMTERENE,1964,1,1,0,0,0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
CYCLOSERINE,1964,1,1,0,0,0,NC1CONC1=O
NOVOBIOCIN SODIUM,1964,1,1,0,0,0,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C
OXYTETRACYCLINE HYDROCHLORIDE,1964,1,1,1,1,0,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
TRIOXSALEN,1964,1,1,0,0,0,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
DESIPRAMINE HYDROCHLORIDE,1964,1,1,0,0,0,CNCCCN1c2ccccc2CCc2ccccc21
PRALIDOXIME,1964,0,1,1,0,0,C[n+]1ccccc1C=NO
OXANDROLONE,1964,1,1,0,0,0,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
BETAMETHASONE ACETATE,1965,1,0,1,0,0,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
INDOMETHACIN,1965,1,1,1,1,0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
NAFCILLIN SODIUM,1965,1,1,1,0,0,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12
AMPICILLIN,1965,1,1,0,0,0,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
OXAZEPAM,1965,1,1,0,0,0,O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O
DOXAPRAM,1965,0,0,1,0,0,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
CHLORPHENESIN CARBAMATE,1965,1,1,0,0,0,NC(=O)OCC(O)COc1ccc(Cl)cc1
VINBLASTINE,1965,0,0,1,0,0,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
BETAMETHASONE SODIUM PHOSPHATE,1965,1,0,1,0,0,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
ERYTHROMYCIN ETHYLSUCCINATE,1965,1,1,0,0,0,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)C(C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)C(C)C(=O)C(C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
FLURANDRENOLIDE,1965,1,0,0,1,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
PRILOCAINE,1965,1,0,1,1,0,CCCNC(C)C(=O)Nc1ccccc1C
EPINEPHRINE BITARTRATE,1965,1,0,1,1,0,CNC[C@H](O)c1ccc(O)c(O)c1
ETHIONAMIDE,1965,1,1,0,0,0,CCc1cc(C(N)=S)ccn1
THIOGUANINE,1966,1,1,0,0,0,Nc1nc(=S)c2[nH]cnc2[nH]1
ETHYNODIOL DIACETATE,1966,1,1,0,0,0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
TOLAZAMIDE,1966,1,1,0,0,0,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
FUROSEMIDE,1966,1,1,1,0,0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
ALLOPURINOL,1966,1,1,1,0,0,O=c1[nH]cnc2[nH]ncc12
SULFAMETER,1966,1,1,0,0,0,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
PIPOBROMAN,1966,1,1,0,0,0,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
CLOFIBRATE,1967,1,1,0,0,0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
ETHACRYNATE SODIUM,1967,1,0,1,0,0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
BETAMETHASONE VALERATE,1967,1,0,0,1,0,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
MEFENAMIC ACID,1967,1,1,0,0,0,Cc1cccc(Nc2ccccc2C(=O)O)c1C
DIPHENIDOL HYDROCHLORIDE,1967,1,1,0,0,0,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
PROTRIPTYLINE,1967,0,1,0,0,0,CNCCCC1c2ccccc2C=Cc2ccccc21
ERYTHROMYCIN PROPIONATE,1967,0,1,0,0,0,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)C(C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)C(C)C(=O)C(C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
THIABENDAZOLE,1967,1,1,0,0,0,c1ccc2[nH]c(-c3cscn3)nc2c1
CHLORPROTHIXENE,1967,1,1,1,0,0,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
PROPRANOLOL HYDROCHLORIDE,1967,1,1,1,0,0,CC(C)NCC(O)COc1cccc2ccccc12
DOXYCYCLINE,1967,1,1,0,0,0,CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21
DEXTROTHYROXINE SODIUM,1967,1,1,0,0,0,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
HALOPERIDOL LACTATE,1967,1,1,1,0,0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
PENTAZOCINE,1967,0,1,1,0,0,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
THIOTHIXENE,1967,1,1,1,0,0,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
METHENAMINE,1967,0,1,0,0,0,C1N2CN3CN1CN(C2)C3
METHENAMINE HIPPURATE,1967,1,1,0,0,0,O=C(O)CNC(=O)c1ccccc1
FLUPHENAZINE ENANTHATE,1967,1,0,1,0,0,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CLOMIPHENE,1967,0,1,0,0,0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
AZATHIOPRINE,1968,1,1,1,0,0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
NORGESTREL,1968,1,1,0,0,0,C#CC1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC
AMANTADINE HYDROCHLORIDE,1968,1,1,0,0,0,NC12CC3CC(CC(C3)C1)C2
CARBAMAZEPINE,1968,1,1,1,0,0,NC(=O)N1c2ccccc2C=Cc2ccccc21
DICLOXACILLIN,1968,0,1,0,0,0,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12
FENTANYL,1968,1,1,1,1,0,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
ACETAMINOPHEN,1968,1,1,1,1,0,CC(=O)Nc1ccc(O)cc1
MAFENIDE,1969,1,0,0,1,0,NCc1ccc(S(N)(=O)=O)cc1
PAROMOMYCIN SULFATE,1969,1,1,0,0,0,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
PIPERACETAZINE,1969,1,1,0,0,0,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
MEDRYSONE,1969,1,0,0,1,0,CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
TRIAMCINOLONE HEXACETONIDE,1969,1,0,1,0,0,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
CYTARABINE,1969,1,0,1,0,0,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
HYDROXYAMPHETAMINE HYDROBROMIDE,1969,1,0,0,1,0,CC(N)Cc1ccc(O)cc1
TROLEANDOMYCIN,1969,1,1,0,0,0,CO[C@H]1C[C@H](O[C@@H]2C(C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)C(C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
PROCARBAZINE HYDROCHLORIDE,1969,1,1,0,0,0,CNNCc1ccc(C(=O)NC(C)C)cc1
TYROPANOATE SODIUM,1969,1,1,0,0,0,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I
DOXEPIN,1969,1,1,0,1,0,CN(C)CCC=C1c2ccccc2COc2ccccc21
TESTOLACTONE,1969,1,1,1,0,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12
FLURAZEPAM,1970,0,1,0,0,0,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
MITOTANE,1970,1,1,0,0,0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
FLAVOXATE HYDROCHLORIDE,1970,1,1,0,0,0,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O
DROPERIDOL,1970,1,0,1,0,0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
CEPHALOGLYCIN,1970,1,1,0,0,0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)[C@H]2SC1
KETAMINE,1970,1,0,1,0,0,CNC1(c2ccccc2Cl)CCCCC1=O
FLOXURIDINE,1970,1,0,1,0,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
LEVODOPA,1970,1,1,0,0,0,NC(Cc1ccc(O)c(O)c1)C(=O)O
MESORIDAZINE,1970,0,1,1,0,0,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21
CLINDAMYCIN HYDROCHLORIDE,1970,1,1,0,0,0,CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
NAPHAZOLINE,1971,0,0,0,1,0,c1ccc2c(CC3=NCCN3)cccc2c1
FLUOCINONIDE,1971,1,0,0,1,0,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
PYRAZINAMIDE,1971,1,1,0,0,0,NC(=O)c1cnccn1
SULFISOXAZOLE,1971,1,1,0,0,0,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
RIFAMPIN,1971,1,1,1,0,0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
OXACILLIN SODIUM,1971,1,1,1,0,0,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12
CEPHALEXIN,1971,1,1,0,0,0,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)[C@H]2SC1
MINOCYCLINE,1971,0,1,1,1,0,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3C(N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O
SPECTINOMYCIN,1971,0,0,1,0,0,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
NALOXONE,1971,0,1,1,1,0,C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5
TRETINOIN,1971,1,1,0,1,0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
FLUCYTOSINE,1971,1,1,0,0,0,Nc1[nH]c(=O)ncc1F
MEGESTROL ACETATE,1971,1,1,0,0,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
FLUPHENAZINE DECANOATE,1972,1,0,1,0,0,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CLINDAMYCIN PHOSPHATE,1972,1,0,1,1,0,CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
CARBENICILLIN INDANYL SODIUM,1972,1,1,0,0,0,CC1(C)S[C@@H]2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O
OXYMETHOLONE,1972,1,1,0,0,0,C[C@]12CC(C=O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
PANCURONIUM BROMIDE,1972,1,0,1,0,0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1
DESONIDE,1972,1,0,0,1,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
FLUOROMETHOLONE,1972,1,0,0,1,0,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CLORAZEPATE DIPOTASSIUM,1972,1,1,0,0,0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
BUPIVACAINE,1972,1,0,1,0,0,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
TESTOSTERONE,1972,1,0,1,1,0,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
METAPROTERENOL,1973,0,1,0,1,0,CC(C)NCC(O)c1cc(O)cc(O)c1
DIAZOXIDE,1973,1,1,1,0,0,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
PENTOBARBITAL,1973,1,1,1,1,0,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
NORETHINDRONE ACETATE,1973,1,1,1,1,0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C
DIETHYLSTILBESTROL,1973,1,1,1,1,0,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
SULFAMETHOXAZOLE,1973,1,1,1,0,0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
TRIMETHOPRIM,1973,1,1,1,1,0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
PREDNISOLONE SODIUM PHOSPHATE,1973,1,1,1,1,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O
KANAMYCIN,1973,1,1,1,0,0,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O
PYRILAMINE MALEATE,1973,1,1,0,1,0,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
CEFAZOLIN SODIUM,1973,1,0,1,0,0,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)[C@H]3SC2)s1
METHYLTESTOSTERONE,1973,1,1,0,1,0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
METOLAZONE,1973,1,1,0,0,0,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
DEXAMETHASONE ACETATE,1973,1,0,1,0,0,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
MAZINDOL,1973,1,1,0,0,0,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
ISOSORBIDE,1974,1,1,0,0,0,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
AMOXICILLIN,1974,1,1,0,0,0,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O
PILOCARPINE,1974,1,1,0,1,0,CCC1C(=O)OC[C@@H]1Cc1cncn1C
HALCINONIDE,1974,1,0,0,1,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
CEPHRADINE,1974,1,1,1,0,0,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)[C@H]2SC1
MOLINDONE HYDROCHLORIDE,1974,1,1,0,0,0,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
CYCLOPENTOLATE HYDROCHLORIDE,1974,1,0,0,1,0,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
TESTOSTERONE PROPIONATE,1974,1,0,1,0,0,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
PERHEXILINE,1974,0,0,0,0,0,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
BENFLUOREX,1974,1,0,0,0,0,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
CEPHALOTHIN SODIUM,1974,1,0,1,0,0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)[C@H]2SC1
DANTROLENE SODIUM,1974,1,1,1,0,0,O=c1[nH]c(O)cn1/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1
DOPAMINE HYDROCHLORIDE,1974,1,0,1,0,0,NCCc1ccc(O)c(O)c1
PENTAGASTRIN,1974,1,0,1,0,0,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O
CLOXACILLIN SODIUM,1974,1,1,0,0,0,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12
TRIMETHOBENZAMIDE HYDROCHLORIDE,1974,1,1,1,0,0,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
DOXORUBICIN HYDROCHLORIDE,1974,1,0,1,0,0,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O
LINDANE,1974,1,0,0,1,0,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
CEPHAPIRIN SODIUM,1974,1,0,1,0,0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)[C@H]2SC1
IBUPROFEN,1974,1,1,1,0,0,CC(C)Cc1ccc(C(C)C(=O)O)cc1
MEBENDAZOLE,1974,1,1,0,0,0,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
TERBUTALINE SULFATE,1974,1,1,1,1,0,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
